Source: IEA. Licence: CC BY 4.0
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/
Units: EJ
,Fossil fuels,Biofuels,Ammonia,Hydrogen,Methanol,Electricity,Share of low-carbon fuels
2010,8.6,0,0,0,0,0,0
2011,8.6,0,0,0,0,0,0
2012,8,0,0,0,0,0,0
2013,8,0,0,0,0,0,0
2014,8.3,0,0,0,0,0,0.1
2015,8.6,0,0,0,0,0,0.1
2016,8.9,0,0,0,0,0,0.1
2017,9.2,0,0,0,0,0,0.1
2018,9.2,0,0,0,0,0,0.1
2019,9,0,0,0,0,0,0.1
2020,8.2,0,0,0,0,0,0.3
2021,8.7,0,0,0,0,0,0.1
2022,9.2,0,0,0,0,0,0.1
2023,,,,,,,
2024,,,,,,,
2025,,,,,,,
2026,,,,,,,
2027,,,,,,,
2028,,,,,,,
2029,,,,,,,
2030,7.9,0.6,0.5,0.1,0.1,0,13.3
